"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","789","6.Verify Timesheet page refresh","firefox","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","477","10.Verify Employee Name accepts input","webkit","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","5121","15.Username field accepts input","webkit","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","5291","5. Empty password","firefox","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","4526","14.Verify Password fields accept input","firefox","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","6127","13.Password field visible","firefox","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","25440","7.Add User form validation","firefox","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","366","5.Verify Employee Timesheet validation","firefox","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","12","1.Verify Leave module opens","webkit","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","730","9.Verify Leave List page opens","webkit","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","1083","3.Verify Candidates tab clickable","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","3383","8.Verify Add Employee mandatory validation","firefox","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","6903","6. Empty fields","webkit","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
