"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4689","17.Verify Contact Number accepts input","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","61","10.Verify Job Title dropdown opens","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","17339","1.Search user by username","chromium","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","3534","13.Verify Login Username accepts input","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","6100","8. Forgot password visible","webkit","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","7879","3. Verify Admin menu visible","firefox","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","9916","14.Verify Emergency Contact validation","chromium","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","11","2.Verify Candidates tab visible","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","13227","3. Invalid password","firefox","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","271","3.Verify Reports tab navigation","webkit","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","14736","13. Verify search clear","chromium","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","1357","9.Verify Leave List page opens","firefox","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","4469","6.Verify Candidate Name accepts input","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","1874","18.Verify candidate notes field","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","4179","11.Verify Middle Name accepts input","chromium","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","15034","9. Verify Recruitment navigation","webkit","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","7785","16.Password field masked","firefox","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","3198","14.Verify First Name accepts input","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","678","10.Verify Employee Report page navigation","firefox","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","11888","8.User Role selection works","webkit","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","13670","3. Verify Admin menu visible","chromium","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","21","2.Verify Employee Reviews tab visible","firefox","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","4805","16.Verify Email accepts input","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","11270","3. Verify Admin menu visible","webkit","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","13206","2.Reset clears username field","chromium","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","8013","14. Verify search placeholder","firefox","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","384","12.Verify Sub Unit dropdown clickable","webkit","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","856","7.Verify Hiring Manager accepts input","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","10278","2. Invalid username","firefox","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","480","4.Verify My Leave page opens","chromium","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","125","3.Verify Employee Reviews tab clickable","firefox","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","6","2.Verify Employee Reviews tab visible","chromium","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","8","6.Verify Reset button enabled","chromium","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","1756","5.Verify Vacancies tab clickable","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","623","4.Verify Add Employee navigation","chromium","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","10439","14.Search after entering multiple filters","chromium","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","10939","13.Verify Emergency Contacts page opens","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","14636","10. Login using Enter key","chromium","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","2443","5.Verify Vacancies tab clickable","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","14504","4.Verify Last Name accepts input","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","534","9.Verify Status dropdown opens","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","2903","10.Verify Employee Name accepts input","chromium","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","138","8.Verify Status dropdown selectable","chromium","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","26","1.Verify employee name accepts input","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","13991","13.Cancel Add User operation","firefox","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","773","4.Verify Employee Name accepts input","chromium","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","51","2.Verify employee ID accepts input","firefox","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","10486","13.Verify Emergency Contacts page opens","chromium","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","1123","10.Verify KPI page opens","chromium","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","11867","6. Verify Leave navigation","firefox","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","55","3.Verify Reports tab navigation","firefox","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","13045","8.Verify Nationality dropdown selectable","webkit","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","3655","11.Verify Middle Name accepts input","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","8770","1. Valid login","webkit","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","12527","12.Username field accepts input in Add User","firefox","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","370","8.Verify Vacancy dropdown opens","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","9535","7. Verify Directory menu visible","webkit","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
