"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2737","8.Verify records found text visible","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","11","18.Verify Leave navigation URL","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","26","18.Verify Leave navigation URL","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","7949","20.Verify search box placeholder","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","7961","7. Special characters login","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","6491","17.Password field masked","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","5","5.Verify search button visible","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","13909","11. Logout","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","5","8.Verify to date field visible","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","3","11.Verify table visible","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","127","11.Verify employee ID accepts input","webkit","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","15961","8.Verify Directory menu visible","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","14532","12.Verify dashboard menu visible","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","3","6.Verify employee name field visible","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","4160","4. Empty username","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","5891","8. Forgot password visible","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","6278","15.Username field accepts input","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","6","17.Verify reset button enabled","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","6684","8. Forgot password visible","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","43","12.Verify employee name accepts input","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","9420","7. Special characters login","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","5272","9. Forgot password navigation","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","17859","4.Verify Admin menu visible","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","17159","1. Valid login","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","4712","12.Username field visible","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","4","16.Verify search button enabled","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","9","5.Verify search button visible","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","14633","4.Verify Admin menu visible","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","9","1.Verify Leave heading","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","3030","13.Verify Add Employee navigation","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","7763","19.Verify search clear","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","3","3.Verify employee name input visible","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","5","1.Verify Leave heading","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","13","9.Verify search button visible","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","13079","2.Verify sidebar visible","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","9296","10. Login using Enter key","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","5492","9. Forgot password navigation","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","3237","19.Verify Apply tab navigation","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","34730","9.Verify Directory navigation","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","2927","19.Verify Apply tab navigation","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","5948","5. Empty password","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","12278","13.Verify search box visible","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","3","1.Verify PIM Heading","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","23656","11.Verify Recruitment navigation","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","261","12.Verify reset button visible after click","webkit","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","133","12.Verify reset button visible after click","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","5137","4. Empty username","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
